timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444646.175,4.25412,4.7554,5.62285,0.01044,0.02206,0.03274
1763444646.275,4.25413,4.7554,5.62286,0.01045,0.02206,0.03276
1763444646.375,4.25414,4.7554,5.62286,0.01045,0.02206,0.03276
1763444646.475,4.25415,4.7554,5.62287,0.01045,0.02206,0.03276
1763444646.575,4.25416,4.75541,5.62287,0.01045,0.02206,0.03276
1763444646.675,4.25418,4.75541,5.62288,0.01045,0.02207,0.03275
1763444646.775,4.25421,4.75542,5.62289,0.01045,0.02207,0.03275
1763444646.875,4.25424,4.75543,5.62291,0.01045,0.02209,0.03275
1763444646.975,4.25426,4.75543,5.62291,0.01045,0.02209,0.03275
1763444647.075,4.25427,4.75544,5.62292,0.01045,0.02209,0.03275
1763444647.175,4.25428,4.75545,5.62293,0.01047,0.02211,0.03278
1763444647.275,4.25429,4.75545,5.62293,0.01047,0.02211,0.03278
1763444647.375,4.25431,4.75546,5.62294,0.01047,0.02211,0.03278
1763444647.475,4.25434,4.75549,5.62297,0.01049,0.02214,0.03282
1763444647.575,4.25438,4.75553,5.62299,0.01049,0.02214,0.03282
1763444647.675,4.25442,4.75557,5.62301,0.01049,0.02214,0.03282
1763444647.775,4.25455,4.75566,5.62306,0.0105,0.02215,0.03285
1763444647.875,4.2547,4.75576,5.62312,0.0105,0.02215,0.03285
1763444647.975,4.25488,4.7558,5.62314,0.0105,0.02214,0.03278
1763444648.075,4.25501,4.75582,5.62316,0.0105,0.02214,0.03278
1763444648.175,4.25512,4.75581,5.62317,0.0105,0.02214,0.03278
1763444648.275,4.25523,4.75577,5.62315,0.0105,0.02214,0.03278
1763444648.375,4.25533,4.75576,5.62314,0.0105,0.02214,0.03278
1763444648.475,4.25563,4.75583,5.62314,0.01049,0.02214,0.03281
1763444648.575,4.25581,4.75591,5.62315,0.01049,0.02214,0.03281
1763444648.675,4.25602,4.75602,5.62316,0.01049,0.02214,0.03281
1763444648.775,4.25619,4.75606,5.62317,0.01049,0.0221,0.03278
1763444648.875,4.25629,4.75605,5.62319,0.01049,0.0221,0.03278
1763444648.975,4.25642,4.75603,5.62321,0.01049,0.0221,0.03278
1763444649.075,4.25656,4.75596,5.62323,0.0105,0.02212,0.03278
